original_language;popularity;title;vote_average;vote_count;price
en;0,076975;MURDER and murder;8;2;7,99
en;1,555954;Fall;7,2;6;6,99
en;14,374866;Contact;7,2;1338;6,99
en;3,459251;Career Girls;7,4;15;6,99
en;15,91126;The Hunt for Red October;7,2;971;6,99
en;7,289727;My Own Private Idaho;7,1;218;6,99
en;10,989442;L.A. Confidential;7,7;1340;7,99
en;14,825587;The Game;7,5;1556;7,99
en;10,920124;The Devil's Advocate;7,2;1414;6,99
en;1,301573;Washington Square;7,4;5;6,99
en;12,89312;Gattaca;7,5;1846;7,99
en;7,595679;Boogie Nights;7,5;812;7,99
en;3,01386;The Joy Luck Club;7,1;34;6,99
en;13,155901;The Truman Show;7,8;4702;7,99
en;11,911173;Anastasia;7,4;1481;6,99
en;6,280515;Deconstructing Harry;7,3;188;6,99
en;15,064833;Good Will Hunting;7,9;2880;7,99
en;26,88907;Titanic;7,5;7770;7,99
en;16,415498;Jackie Brown;7,3;1580;6,99
en;15,952524;The Big Lebowski;7,8;3001;7,99
en;12,851984;Dark City;7,2;838;6,99
en;0,13785;Ayn Rand: A Sense of Life;7,2;3;6,99
en;9,374049;As Good as It Gets;7,2;946;6,99
en;0,782772;Niagara, Niagara;7,7;9;7,99
en;4,305735;The Spanish Prisoner;7,1;74;6,99
en;0,488656;Leather Jacket Love Story;9;2;8,99
en;0,567444;Dancer, Texas Pop. 81;10;1;9,99
en;12,238488;Les Misérables;7,1;157;6,99
en;4,255263;Lawn Dogs;7,3;32;6,99
en;9,220346;Fear and Loathing in Las Vegas;7,2;1321;6,99
en;21,180857;Mulan;7,6;2089;7,99
en;6,811264;Picnic at Hanging Rock;7,1;156;6,99
en;9,167761;Buffalo '66;7,2;172;6,99
en;10,621362;Pi;7,1;600;6,99
en;0,291914;Whatever;8,3;2;7,99
en;15,235056;All Quiet on the Western Front;7,5;166;7,99
en;7,135215;Mutiny on the Bounty;7,1;72;6,99
en;4,370592;You Can't Take It With You;7,2;79;6,99
en;8,731331;The Lost Weekend;7,4;115;6,99
en;6,069343;The Best Years of Our Lives;7,6;148;7,99
en;5,358582;From Here to Eternity;7,2;137;6,99
en;18,211093;On the Waterfront;8;368;7,99
en;11,589081;Marty;7,2;75;6,99
en;6,997888;A Man for All Seasons;7,5;90;7,99
en;9,059617;In the Heat of the Night;7,5;207;7,99
en;10,579988;Midnight Cowboy;7,4;307;6,99
en;6,694959;The French Connection;7,4;435;6,99
en;14,774066;Rocky;7,5;1843;7,99
en;9,741644;Kramer vs. Kramer;7,4;483;6,99
en;8,934661;Ordinary People;7,4;147;6,99
en;11,076971;The Last Emperor;7,4;362;6,99
en;11,267467;Rain Man;7,6;1762;7,99
en;13,009688;Labyrinth;7,1;618;6,99
en;12,627678;The Breakfast Club;7,8;2189;7,99
en;13,672759;Halloween;7,4;1066;6,99
en;11,776326;Poltergeist;7,1;811;6,99
en;12,137595;The Exorcist;7,5;2046;7,99
en;14,280703;The Goonies;7,4;1563;6,99
en;13,689855;Back to the Future Part II;7,4;3926;6,99
en;13,043999;Back to the Future Part III;7,1;2978;6,99
en;10,341849;The Poseidon Adventure;7,3;274;6,99
en;11,46781;Dangerous Liaisons;7,1;267;6,99
en;17,185349;The Godfather: Part III;7,1;1589;6,99
en;21,758054;Saving Private Ryan;7,9;5148;7,99
en;5,34379;Out of the Past;7,6;111;7,99
en;8,489499;Doctor Zhivago;7,4;252;6,99
en;7,882247;Blue Velvet;7,7;758;7,99
en;22,845448;The Jungle Book;7,1;1791;6,99
en;17,496832;The Little Mermaid;7,2;1921;6,99
en;15,802306;Indiana Jones and the Temple of Doom;7,1;2841;6,99
en;5,564294;Who's Afraid of Virginia Woolf?;7,8;199;7,99
en;5,602126;Watership Down;7,3;159;6,99
en;10,812275;The Secret of NIMH;7,5;186;7,99
en;13,524001;The Dark Crystal;7,3;233;6,99
en;10,973482;The Gods Must Be Crazy;7,1;251;6,99
en;11,504558;Rosemary's Baby;7,5;892;7,99
en;10,627364;Beetlejuice;7,1;1475;6,99
en;0,438882;Déjà Vu;8;1;7,99
en;5,316387;Frenzy;7,2;162;6,99
en;6,409094;Marnie;7,2;233;6,99
en;12,547763;The Man Who Knew Too Much;7,3;276;6,99
en;15,41773;Strangers on a Train;7,6;379;7,99
en;11,062203;The Untouchables;7,6;1424;7,99
en;0,100482;Modulations;8,5;2;7,99
en;7,773354;Lifeboat;7,3;112;6,99
en;8,007141;Shadow of a Doubt;7,5;219;7,99
en;5,660476;Suspicion;7,1;140;6,99
en;6,078088;The Lady Vanishes;7,5;183;7,99
en;0,996778;One Man's Hero;9,3;2;8,99
en;6,953646;Say Anything...;7,2;244;6,99
en;0,976798;Bandit Queen;7,1;11;6,99
en;12,083475;If....;7,2;80;6,99
en;16,83125;The Thing;7,8;1629;7,99
en;17,612244;Edward Scissorhands;7,5;3731;7,99
en;7,433784;The Producers;7,3;177;6,99
en;7,922216;My Cousin Vinny;7,3;393;6,99
en;9,042678;Nashville;7,2;79;6,99
en;6,78844;The Mighty;7,1;51;6,99
en;8,405672;The Elephant Man;7,9;740;7,99
en;5,493697;Happiness;7,4;197;6,99
en;11,0874;Pleasantville;7,1;498;6,99
en;18,157166;American History X;8,2;3120;7,99
en;7,566321;Elizabeth;7,2;346;6,99
en;3,699017;Savior;7,1;29;6,99
en;4,502687;Waking Ned;7,4;58;6,99
en;8,73274;King Kong;7,7;346;7,99
en;5,997054;Rushmore;7,5;688;7,99
en;5,114032;Miracle on 34th Street;7,4;139;6,99
en;14,778884;First Blood;7,2;1523;6,99
en;7,720009;Clue;7,1;377;6,99
en;9,802574;National Lampoon's Christmas Vacation;7,1;668;6,99
en;9,783966;The Thin Red Line;7,2;793;6,99
en;13,534589;The Fly;7,1;1038;6,99
en;15,526413;The Texas Chain Saw Massacre;7,1;617;6,99
en;11,469751;The Name of the Rose;7,2;739;6,99
